Source,Target,Type
158,3,Undirected
179,3,Undirected
187,3,Undirected
190,3,Undirected
197,3,Undirected
214,3,Undirected
221,3,Undirected
240,3,Undirected
262,3,Undirected
353,3,Undirected
370,3,Undirected
375,3,Undirected
394,3,Undirected
403,3,Undirected
405,3,Undirected
407,3,Undirected
411,3,Undirected
422,3,Undirected
442,3,Undirected
445,3,Undirected
465,3,Undirected
496,3,Undirected
531,3,Undirected
534,3,Undirected
540,3,Undirected
559,3,Undirected
573,3,Undirected
584,3,Undirected
596,3,Undirected
620,3,Undirected
624,3,Undirected
670,3,Undirected
690,3,Undirected
698,3,Undirected
729,3,Undirected
734,3,Undirected
748,3,Undirected
785,3,Undirected
809,3,Undirected
810,3,Undirected
824,3,Undirected
832,3,Undirected
848,3,Undirected
875,3,Undirected
879,3,Undirected
895,3,Undirected
911,3,Undirected
943,3,Undirected
952,3,Undirected
965,3,Undirected
988,3,Undirected
1007,3,Undirected
1042,3,Undirected
1057,3,Undirected
1069,3,Undirected
1075,3,Undirected
1081,3,Undirected
1113,3,Undirected
1124,3,Undirected
1126,3,Undirected
1127,3,Undirected
1141,3,Undirected
1147,3,Undirected
1160,3,Undirected
1206,3,Undirected
1238,3,Undirected
1249,3,Undirected
1250,3,Undirected
1270,3,Undirected
1293,3,Undirected
1298,3,Undirected
1300,3,Undirected
1309,3,Undirected
1341,3,Undirected
1438,3,Undirected
1465,3,Undirected
1480,3,Undirected
1498,3,Undirected
1529,3,Undirected
1540,3,Undirected
1549,3,Undirected
1556,3,Undirected
1562,3,Undirected
1582,3,Undirected
1607,3,Undirected
1616,3,Undirected
1629,3,Undirected
1649,3,Undirected
1657,3,Undirected
1673,3,Undirected
1681,3,Undirected
1698,3,Undirected
1721,3,Undirected
1787,3,Undirected
1800,3,Undirected
1826,3,Undirected
1844,3,Undirected
1879,3,Undirected
1898,3,Undirected
1927,3,Undirected
1972,3,Undirected
2002,3,Undirected
2031,3,Undirected
2046,3,Undirected
2090,3,Undirected
2105,3,Undirected
2114,3,Undirected
2213,3,Undirected
2215,3,Undirected
2238,3,Undirected
2243,3,Undirected
2298,3,Undirected
2360,3,Undirected
2378,3,Undirected
2380,3,Undirected
2384,3,Undirected
2395,3,Undirected
2413,3,Undirected
2443,3,Undirected
2459,3,Undirected
2498,3,Undirected
2506,3,Undirected
2509,3,Undirected
2519,3,Undirected
2526,3,Undirected
2554,3,Undirected
2555,3,Undirected
2575,3,Undirected
2602,3,Undirected
17,4,Undirected
59,4,Undirected
95,4,Undirected
135,4,Undirected
165,4,Undirected
171,4,Undirected
179,4,Undirected
217,4,Undirected
218,4,Undirected
227,4,Undirected
230,4,Undirected
256,4,Undirected
259,4,Undirected
263,4,Undirected
266,4,Undirected
271,4,Undirected
304,4,Undirected
364,4,Undirected
387,4,Undirected
392,4,Undirected
421,4,Undirected
425,4,Undirected
435,4,Undirected
461,4,Undirected
492,4,Undirected
541,4,Undirected
547,4,Undirected
581,4,Undirected
585,4,Undirected
611,4,Undirected
625,4,Undirected
632,4,Undirected
635,4,Undirected
651,4,Undirected
654,4,Undirected
673,4,Undirected
704,4,Undirected
710,4,Undirected
727,4,Undirected
741,4,Undirected
778,4,Undirected
792,4,Undirected
822,4,Undirected
857,4,Undirected
868,4,Undirected
919,4,Undirected
923,4,Undirected
924,4,Undirected
929,4,Undirected
937,4,Undirected
940,4,Undirected
991,4,Undirected
993,4,Undirected
1024,4,Undirected
1026,4,Undirected
1032,4,Undirected
1053,4,Undirected
1096,4,Undirected
1123,4,Undirected
1142,4,Undirected
1154,4,Undirected
1187,4,Undirected
1220,4,Undirected
1227,4,Undirected
1235,4,Undirected
1245,4,Undirected
1299,4,Undirected
1303,4,Undirected
1326,4,Undirected
1346,4,Undirected
1362,4,Undirected
1472,4,Undirected
1475,4,Undirected
1512,4,Undirected
1523,4,Undirected
1625,4,Undirected
1629,4,Undirected
1634,4,Undirected
1655,4,Undirected
1657,4,Undirected
1682,4,Undirected
1702,4,Undirected
1704,4,Undirected
1717,4,Undirected
1726,4,Undirected
1745,4,Undirected
1766,4,Undirected
1784,4,Undirected
1792,4,Undirected
1793,4,Undirected
1807,4,Undirected
1810,4,Undirected
1841,4,Undirected
1900,4,Undirected
1919,4,Undirected
1921,4,Undirected
1953,4,Undirected
1961,4,Undirected
1978,4,Undirected
1992,4,Undirected
1995,4,Undirected
2057,4,Undirected
2070,4,Undirected
2073,4,Undirected
2091,4,Undirected
2130,4,Undirected
2179,4,Undirected
2184,4,Undirected
2259,4,Undirected
2271,4,Undirected
2282,4,Undirected
2293,4,Undirected
2295,4,Undirected
2297,4,Undirected
2308,4,Undirected
2316,4,Undirected
2319,4,Undirected
2347,4,Undirected
2355,4,Undirected
2387,4,Undirected
2423,4,Undirected
2436,4,Undirected
2444,4,Undirected
2461,4,Undirected
2468,4,Undirected
2474,4,Undirected
2475,4,Undirected
2477,4,Undirected
2478,4,Undirected
2487,4,Undirected
2525,4,Undirected
2565,4,Undirected
2579,4,Undirected
2592,4,Undirected
2598,4,Undirected
21,5,Undirected
76,5,Undirected
458,5,Undirected
585,5,Undirected
829,5,Undirected
902,5,Undirected
956,5,Undirected
1019,5,Undirected
1095,5,Undirected
1146,5,Undirected
1217,5,Undirected
1462,5,Undirected
1745,5,Undirected
1845,5,Undirected
1948,5,Undirected
2000,5,Undirected
2096,5,Undirected
2293,5,Undirected
2386,5,Undirected
2410,5,Undirected
2591,5,Undirected
36,6,Undirected
63,6,Undirected
97,6,Undirected
115,6,Undirected
149,6,Undirected
187,6,Undirected
203,6,Undirected
221,6,Undirected
247,6,Undirected
265,6,Undirected
285,6,Undirected
288,6,Undirected
327,6,Undirected
353,6,Undirected
375,6,Undirected
381,6,Undirected
391,6,Undirected
397,6,Undirected
400,6,Undirected
405,6,Undirected
419,6,Undirected
439,6,Undirected
496,6,Undirected
505,6,Undirected
522,6,Undirected
534,6,Undirected
535,6,Undirected
589,6,Undirected
619,6,Undirected
626,6,Undirected
649,6,Undirected
688,6,Undirected
690,6,Undirected
692,6,Undirected
701,6,Undirected
712,6,Undirected
719,6,Undirected
723,6,Undirected
776,6,Undirected
786,6,Undirected
831,6,Undirected
866,6,Undirected
870,6,Undirected
895,6,Undirected
897,6,Undirected
898,6,Undirected
905,6,Undirected
937,6,Undirected
943,6,Undirected
950,6,Undirected
951,6,Undirected
952,6,Undirected
1042,6,Undirected
1051,6,Undirected
1069,6,Undirected
1092,6,Undirected
1117,6,Undirected
1124,6,Undirected
1185,6,Undirected
1260,6,Undirected
1281,6,Undirected
1327,6,Undirected
1341,6,Undirected
1350,6,Undirected
1371,6,Undirected
1374,6,Undirected
1377,6,Undirected
1407,6,Undirected
1444,6,Undirected
1445,6,Undirected
1467,6,Undirected
1480,6,Undirected
1519,6,Undirected
1561,6,Undirected
1568,6,Undirected
1594,6,Undirected
1595,6,Undirected
1600,6,Undirected
1607,6,Undirected
1646,6,Undirected
1671,6,Undirected
1679,6,Undirected
1681,6,Undirected
1685,6,Undirected
1701,6,Undirected
1722,6,Undirected
1740,6,Undirected
1746,6,Undirected
1750,6,Undirected
1787,6,Undirected
1826,6,Undirected
1847,6,Undirected
1865,6,Undirected
1890,6,Undirected
1898,6,Undirected
1955,6,Undirected
1956,6,Undirected
2002,6,Undirected
2014,6,Undirected
2051,6,Undirected
2080,6,Undirected
2101,6,Undirected
2104,6,Undirected
2131,6,Undirected
2139,6,Undirected
2159,6,Undirected
2200,6,Undirected
2216,6,Undirected
2240,6,Undirected
2255,6,Undirected
2284,6,Undirected
2285,6,Undirected
2287,6,Undirected
2301,6,Undirected
2324,6,Undirected
2340,6,Undirected
2358,6,Undirected
2360,6,Undirected
2368,6,Undirected
2380,6,Undirected
2385,6,Undirected
2413,6,Undirected
2427,6,Undirected
2438,6,Undirected
2452,6,Undirected
2459,6,Undirected
2529,6,Undirected
2553,6,Undirected
2576,6,Undirected
2582,6,Undirected
2584,6,Undirected
17,7,Undirected
37,7,Undirected
101,7,Undirected
108,7,Undirected
133,7,Undirected
147,7,Undirected
151,7,Undirected
177,7,Undirected
218,7,Undirected
221,7,Undirected
227,7,Undirected
251,7,Undirected
268,7,Undirected
281,7,Undirected
288,7,Undirected
294,7,Undirected
304,7,Undirected
354,7,Undirected
365,7,Undirected
390,7,Undirected
397,7,Undirected
403,7,Undirected
419,7,Undirected
433,7,Undirected
439,7,Undirected
445,7,Undirected
447,7,Undirected
469,7,Undirected
488,7,Undirected
530,7,Undirected
588,7,Undirected
595,7,Undirected
603,7,Undirected
611,7,Undirected
625,7,Undirected
630,7,Undirected
643,7,Undirected
650,7,Undirected
675,7,Undirected
678,7,Undirected
693,7,Undirected
735,7,Undirected
740,7,Undirected
746,7,Undirected
765,7,Undirected
785,7,Undirected
805,7,Undirected
807,7,Undirected
809,7,Undirected
822,7,Undirected
876,7,Undirected
895,7,Undirected
925,7,Undirected
941,7,Undirected
966,7,Undirected
1003,7,Undirected
1017,7,Undirected
1018,7,Undirected
1036,7,Undirected
1039,7,Undirected
1057,7,Undirected
1062,7,Undirected
1073,7,Undirected
1117,7,Undirected
1118,7,Undirected
1125,7,Undirected
1136,7,Undirected
1156,7,Undirected
1178,7,Undirected
1192,7,Undirected
1200,7,Undirected
1203,7,Undirected
1226,7,Undirected
1232,7,Undirected
1234,7,Undirected
1281,7,Undirected
1433,7,Undirected
1446,7,Undirected
1450,7,Undirected
1457,7,Undirected
1461,7,Undirected
1464,7,Undirected
1466,7,Undirected
1484,7,Undirected
1485,7,Undirected
1513,7,Undirected
1540,7,Undirected
1547,7,Undirected
1552,7,Undirected
1566,7,Undirected
1569,7,Undirected
1582,7,Undirected
1611,7,Undirected
1619,7,Undirected
1646,7,Undirected
1674,7,Undirected
1698,7,Undirected
1702,7,Undirected
1706,7,Undirected
1722,7,Undirected
1730,7,Undirected
1742,7,Undirected
1747,7,Undirected
1787,7,Undirected
1804,7,Undirected
1814,7,Undirected
1839,7,Undirected
1843,7,Undirected
1847,7,Undirected
1859,7,Undirected
1860,7,Undirected
1895,7,Undirected
1906,7,Undirected
1909,7,Undirected
1955,7,Undirected
1983,7,Undirected
1984,7,Undirected
1990,7,Undirected
1993,7,Undirected
2014,7,Undirected
2033,7,Undirected
2037,7,Undirected
2049,7,Undirected
2092,7,Undirected
2106,7,Undirected
2111,7,Undirected
2152,7,Undirected
2158,7,Undirected
2198,7,Undirected
2202,7,Undirected
2212,7,Undirected
2214,7,Undirected
2217,7,Undirected
2228,7,Undirected
2237,7,Undirected
2258,7,Undirected
2318,7,Undirected
2348,7,Undirected
2358,7,Undirected
2360,7,Undirected
2368,7,Undirected
2376,7,Undirected
2378,7,Undirected
2395,7,Undirected
2396,7,Undirected
2420,7,Undirected
2443,7,Undirected
2461,7,Undirected
2466,7,Undirected
2498,7,Undirected
2521,7,Undirected
2524,7,Undirected
2540,7,Undirected
2553,7,Undirected
2563,7,Undirected
2570,7,Undirected
2572,7,Undirected
2586,7,Undirected
2600,7,Undirected
2604,7,Undirected
20,8,Undirected
21,8,Undirected
29,8,Undirected
31,8,Undirected
34,8,Undirected
37,8,Undirected
45,8,Undirected
78,8,Undirected
96,8,Undirected
135,8,Undirected
140,8,Undirected
203,8,Undirected
289,8,Undirected
296,8,Undirected
311,8,Undirected
312,8,Undirected
313,8,Undirected
315,8,Undirected
359,8,Undirected
418,8,Undirected
456,8,Undirected
466,8,Undirected
473,8,Undirected
487,8,Undirected
518,8,Undirected
555,8,Undirected
574,8,Undirected
585,8,Undirected
586,8,Undirected
592,8,Undirected
598,8,Undirected
612,8,Undirected
616,8,Undirected
618,8,Undirected
625,8,Undirected
645,8,Undirected
662,8,Undirected
683,8,Undirected
684,8,Undirected
720,8,Undirected
732,8,Undirected
781,8,Undirected
784,8,Undirected
807,8,Undirected
851,8,Undirected
860,8,Undirected
906,8,Undirected
944,8,Undirected
999,8,Undirected
1002,8,Undirected
1035,8,Undirected
1098,8,Undirected
1103,8,Undirected
1189,8,Undirected
1196,8,Undirected
1211,8,Undirected
1303,8,Undirected
1379,8,Undirected
1402,8,Undirected
1453,8,Undirected
1521,8,Undirected
1588,8,Undirected
1589,8,Undirected
1593,8,Undirected
1601,8,Undirected
1605,8,Undirected
1643,8,Undirected
1659,8,Undirected
1664,8,Undirected
1728,8,Undirected
1738,8,Undirected
1745,8,Undirected
1776,8,Undirected
1824,8,Undirected
1832,8,Undirected
1868,8,Undirected
1885,8,Undirected
1934,8,Undirected
1940,8,Undirected
1943,8,Undirected
2024,8,Undirected
2129,8,Undirected
2138,8,Undirected
2147,8,Undirected
2149,8,Undirected
2161,8,Undirected
2193,8,Undirected
2211,8,Undirected
2262,8,Undirected
2291,8,Undirected
2300,8,Undirected
2322,8,Undirected
2332,8,Undirected
2335,8,Undirected
2371,8,Undirected
2403,8,Undirected
2435,8,Undirected
2437,8,Undirected
2454,8,Undirected
2457,8,Undirected
2460,8,Undirected
2518,8,Undirected
2522,8,Undirected
2561,8,Undirected
2565,8,Undirected
2596,8,Undirected
2601,8,Undirected
879,9,Undirected
991,9,Undirected
28,10,Undirected
74,10,Undirected
81,10,Undirected
133,10,Undirected
135,10,Undirected
136,10,Undirected
149,10,Undirected
157,10,Undirected
185,10,Undirected
187,10,Undirected
189,10,Undirected
215,10,Undirected
221,10,Undirected
239,10,Undirected
260,10,Undirected
267,10,Undirected
317,10,Undirected
354,10,Undirected
361,10,Undirected
380,10,Undirected
391,10,Undirected
392,10,Undirected
419,10,Undirected
422,10,Undirected
459,10,Undirected
473,10,Undirected
474,10,Undirected
530,10,Undirected
579,10,Undirected
595,10,Undirected
598,10,Undirected
603,10,Undirected
619,10,Undirected
643,10,Undirected
675,10,Undirected
685,10,Undirected
701,10,Undirected
712,10,Undirected
724,10,Undirected
735,10,Undirected
746,10,Undirected
759,10,Undirected
918,10,Undirected
948,10,Undirected
1004,10,Undirected
1012,10,Undirected
1034,10,Undirected
1046,10,Undirected
1051,10,Undirected
1059,10,Undirected
1069,10,Undirected
1106,10,Undirected
1118,10,Undirected
1125,10,Undirected
1140,10,Undirected
1200,10,Undirected
1226,10,Undirected
1253,10,Undirected
1281,10,Undirected
1288,10,Undirected
1291,10,Undirected
1314,10,Undirected
1317,10,Undirected
1329,10,Undirected
1367,10,Undirected
1368,10,Undirected
1389,10,Undirected
1398,10,Undirected
1472,10,Undirected
1491,10,Undirected
1493,10,Undirected
1533,10,Undirected
1536,10,Undirected
1565,10,Undirected
1637,10,Undirected
1657,10,Undirected
1722,10,Undirected
1758,10,Undirected
1763,10,Undirected
1787,10,Undirected
1788,10,Undirected
1818,10,Undirected
1824,10,Undirected
1827,10,Undirected
1829,10,Undirected
1866,10,Undirected
1948,10,Undirected
1962,10,Undirected
1972,10,Undirected
1999,10,Undirected
2055,10,Undirected
2072,10,Undirected
2121,10,Undirected
2143,10,Undirected
2152,10,Undirected
2169,10,Undirected
2172,10,Undirected
2187,10,Undirected
2239,10,Undirected
2243,10,Undirected
2246,10,Undirected
2270,10,Undirected
2343,10,Undirected
2352,10,Undirected
2381,10,Undirected
2383,10,Undirected
2396,10,Undirected
2438,10,Undirected
2443,10,Undirected
2461,10,Undirected
2489,10,Undirected
2492,10,Undirected
2514,10,Undirected
2524,10,Undirected
2539,10,Undirected
2559,10,Undirected
2583,10,Undirected
2610,10,Undirected
48,11,Undirected
57,11,Undirected
71,11,Undirected
86,11,Undirected
95,11,Undirected
107,11,Undirected
156,11,Undirected
179,11,Undirected
181,11,Undirected
186,11,Undirected
199,11,Undirected
202,11,Undirected
203,11,Undirected
253,11,Undirected
256,11,Undirected
264,11,Undirected
266,11,Undirected
325,11,Undirected
329,11,Undirected
335,11,Undirected
348,11,Undirected
353,11,Undirected
380,11,Undirected
384,11,Undirected
425,11,Undirected
493,11,Undirected
494,11,Undirected
512,11,Undirected
514,11,Undirected
515,11,Undirected
522,11,Undirected
527,11,Undirected
552,11,Undirected
590,11,Undirected
596,11,Undirected
603,11,Undirected
624,11,Undirected
639,11,Undirected
715,11,Undirected
718,11,Undirected
731,11,Undirected
733,11,Undirected
741,11,Undirected
751,11,Undirected
753,11,Undirected
822,11,Undirected
832,11,Undirected
835,11,Undirected
866,11,Undirected
920,11,Undirected
937,11,Undirected
940,11,Undirected
946,11,Undirected
955,11,Undirected
965,11,Undirected
975,11,Undirected
1016,11,Undirected
1033,11,Undirected
1061,11,Undirected
1075,11,Undirected
1120,11,Undirected
1159,11,Undirected
1166,11,Undirected
1212,11,Undirected
1215,11,Undirected
1230,11,Undirected
1242,11,Undirected
1250,11,Undirected
1259,11,Undirected
1268,11,Undirected
1277,11,Undirected
1285,11,Undirected
1294,11,Undirected
1298,11,Undirected
1299,11,Undirected
1300,11,Undirected
1306,11,Undirected
1326,11,Undirected
1363,11,Undirected
1389,11,Undirected
1391,11,Undirected
1413,11,Undirected
1415,11,Undirected
1459,11,Undirected
1473,11,Undirected
1488,11,Undirected
1489,11,Undirected
1503,11,Undirected
1508,11,Undirected
1510,11,Undirected
1519,11,Undirected
1530,11,Undirected
1543,11,Undirected
1553,11,Undirected
1597,11,Undirected
1634,11,Undirected
1658,11,Undirected
1671,11,Undirected
1673,11,Undirected
1681,11,Undirected
1689,11,Undirected
1693,11,Undirected
1719,11,Undirected
1724,11,Undirected
1729,11,Undirected
1775,11,Undirected
1780,11,Undirected
1805,11,Undirected
1808,11,Undirected
1811,11,Undirected
1835,11,Undirected
1841,11,Undirected
1853,11,Undirected
1870,11,Undirected
1903,11,Undirected
1907,11,Undirected
1920,11,Undirected
1930,11,Undirected
1959,11,Undirected
1979,11,Undirected
2002,11,Undirected
2004,11,Undirected
2035,11,Undirected
2069,11,Undirected
2071,11,Undirected
2074,11,Undirected
2082,11,Undirected
2113,11,Undirected
2120,11,Undirected
2131,11,Undirected
2146,11,Undirected
2168,11,Undirected
2183,11,Undirected
2213,11,Undirected
2308,11,Undirected
2311,11,Undirected
2313,11,Undirected
2325,11,Undirected
2327,11,Undirected
2350,11,Undirected
2359,11,Undirected
2379,11,Undirected
2396,11,Undirected
2431,11,Undirected
2446,11,Undirected
2464,11,Undirected
2474,11,Undirected
2475,11,Undirected
2535,11,Undirected
2541,11,Undirected
2544,11,Undirected
2548,11,Undirected
2555,11,Undirected
2558,11,Undirected
2574,11,Undirected
2575,11,Undirected
2579,11,Undirected
2602,11,Undirected
13,12,Undirected
33,12,Undirected
54,12,Undirected
57,12,Undirected
85,12,Undirected
110,12,Undirected
151,12,Undirected
158,12,Undirected
169,12,Undirected
181,12,Undirected
187,12,Undirected
190,12,Undirected
197,12,Undirected
214,12,Undirected
221,12,Undirected
324,12,Undirected
423,12,Undirected
426,12,Undirected
442,12,Undirected
496,12,Undirected
506,12,Undirected
531,12,Undirected
544,12,Undirected
569,12,Undirected
581,12,Undirected
584,12,Undirected
596,12,Undirected
601,12,Undirected
603,12,Undirected
605,12,Undirected
678,12,Undirected
699,12,Undirected
709,12,Undirected
712,12,Undirected
730,12,Undirected
746,12,Undirected
748,12,Undirected
750,12,Undirected
756,12,Undirected
758,12,Undirected
759,12,Undirected
773,12,Undirected
785,12,Undirected
808,12,Undirected
831,12,Undirected
837,12,Undirected
862,12,Undirected
895,12,Undirected
900,12,Undirected
920,12,Undirected
930,12,Undirected
943,12,Undirected
988,12,Undirected
1004,12,Undirected
1007,12,Undirected
1036,12,Undirected
1055,12,Undirected
1056,12,Undirected
1067,12,Undirected
1079,12,Undirected
1083,12,Undirected
1106,12,Undirected
1131,12,Undirected
1151,12,Undirected
1158,12,Undirected
1186,12,Undirected
1188,12,Undirected
1221,12,Undirected
1238,12,Undirected
1270,12,Undirected
1281,12,Undirected
1282,12,Undirected
1298,12,Undirected
1371,12,Undirected
1442,12,Undirected
1450,12,Undirected
1477,12,Undirected
1498,12,Undirected
1506,12,Undirected
1508,12,Undirected
1513,12,Undirected
1529,12,Undirected
1556,12,Undirected
1561,12,Undirected
1562,12,Undirected
1572,12,Undirected
1573,12,Undirected
1600,12,Undirected
1607,12,Undirected
1609,12,Undirected
1612,12,Undirected
1629,12,Undirected
1630,12,Undirected
1657,12,Undirected
1662,12,Undirected
1757,12,Undirected
1787,12,Undirected
1808,12,Undirected
1833,12,Undirected
1834,12,Undirected
1837,12,Undirected
1838,12,Undirected
1841,12,Undirected
1844,12,Undirected
1872,12,Undirected
1890,12,Undirected
1898,12,Undirected
1931,12,Undirected
1937,12,Undirected
1958,12,Undirected
1999,12,Undirected
2002,12,Undirected
2015,12,Undirected
2037,12,Undirected
2044,12,Undirected
2072,12,Undirected
2080,12,Undirected
2105,12,Undirected
2114,12,Undirected
2163,12,Undirected
2170,12,Undirected
2190,12,Undirected
2191,12,Undirected
2200,12,Undirected
2205,12,Undirected
2207,12,Undirected
2254,12,Undirected
2275,12,Undirected
2286,12,Undirected
2338,12,Undirected
2340,12,Undirected
2342,12,Undirected
2378,12,Undirected
2380,12,Undirected
2395,12,Undirected
2396,12,Undirected
2427,12,Undirected
2437,12,Undirected
2451,12,Undirected
2475,12,Undirected
2498,12,Undirected
2519,12,Undirected
2550,12,Undirected
2582,12,Undirected
2604,12,Undirected
2609,12,Undirected
106,13,Undirected
111,13,Undirected
154,13,Undirected
179,13,Undirected
233,13,Undirected
240,13,Undirected
285,13,Undirected
294,13,Undirected
325,13,Undirected
370,13,Undirected
376,13,Undirected
411,13,Undirected
425,13,Undirected
461,13,Undirected
493,13,Undirected
496,13,Undirected
515,13,Undirected
573,13,Undirected
608,13,Undirected
659,13,Undirected
723,13,Undirected
751,13,Undirected
753,13,Undirected
785,13,Undirected
816,13,Undirected
832,13,Undirected
869,13,Undirected
892,13,Undirected
923,13,Undirected
943,13,Undirected
965,13,Undirected
984,13,Undirected
998,13,Undirected
1009,13,Undirected
1022,13,Undirected
1076,13,Undirected
1147,13,Undirected
1212,13,Undirected
1230,13,Undirected
1269,13,Undirected
1270,13,Undirected
1289,13,Undirected
1292,13,Undirected
1298,13,Undirected
1300,13,Undirected
1326,13,Undirected
1329,13,Undirected
1368,13,Undirected
1391,13,Undirected
1428,13,Undirected
1438,13,Undirected
1503,13,Undirected
1510,13,Undirected
1573,13,Undirected
1587,13,Undirected
1609,13,Undirected
1646,13,Undirected
1704,13,Undirected
1733,13,Undirected
1793,13,Undirected
1835,13,Undirected
1841,13,Undirected
1898,13,Undirected
1927,13,Undirected
2004,13,Undirected
2022,13,Undirected
2051,13,Undirected
2053,13,Undirected
2090,13,Undirected
2105,13,Undirected
2114,13,Undirected
2163,13,Undirected
2183,13,Undirected
2205,13,Undirected
2213,13,Undirected
2288,13,Undirected
2313,13,Undirected
2337,13,Undirected
2391,13,Undirected
2407,13,Undirected
2464,13,Undirected
2474,13,Undirected
2484,13,Undirected
2519,13,Undirected
2535,13,Undirected
2555,13,Undirected
2602,13,Undirected
299,14,Undirected
326,14,Undirected
390,14,Undirected
522,14,Undirected
827,14,Undirected
940,14,Undirected
943,14,Undirected
1341,14,Undirected
1575,14,Undirected
1594,14,Undirected
